Company Name,Open,High,Low,LTP,Change,LTP,% Change,No. of Shares Traded,No. of Trades,Date Updated
Acc Ltd.,1576.25,1611.85,1576.25,1611.85,23.45,1611.85,1.48,155560,12815,9/30/2016
Adani Ports And Special Economic Zone Ltd.,258,259.8,249.1,255.5,-1.3,255.5,-0.51,8404996,52041,9/30/2016
Ambuja Cements Ltd.,255.8,255.8,249.55,251.7,-2.8,251.7,-1.1,2507938,32979,9/30/2016
Asian Paints Ltd.,1167,1179.95,1156,1160,-7.35,1160,-0.63,478253,29959,9/30/2016
Aurobindo Pharma Ltd.,829.9,859.8,818.05,857,31.75,857,3.85,2665449,63570,9/30/2016
Axis Bank Ltd.,535,547.15,530.6,543,3.7,543,0.69,5781645,85637,9/30/2016
Bajaj Auto Ltd.,2857.95,2857.95,2816.8,2840,-6.4,2840,-0.22,229858,29684,9/30/2016
Bank Of Baroda,160.5,168.2,160.05,167.7,5.8,167.7,3.58,7164669,46680,9/30/2016
Bharat Heavy Electricals Ltd.,133,135.35,131.9,134.75,1.75,134.75,1.32,7896315,35695,9/30/2016
Bharat Petroleum Corporation Ltd.,605,618.7,604,613.6,3.45,613.6,0.57,1758366,52067,9/30/2016
Bharti Airtel Ltd.,315.75,316.5,308.1,313.5,-2.2,313.5,-0.7,5727632,106566,9/30/2016
Bharti Infratel Ltd.,373.3,373.8,361.3,367.7,-3.65,367.7,-0.98,3708103,61839,9/30/2016
Bosch Ltd.,22737,22903.4,22524.05,22780,145.8,22780,0.64,10748,5729,9/30/2016
Cipla Ltd.,601.85,603.9,562.25,579.7,-23.15,579.7,-3.84,6967821,97402,9/30/2016
Coal India Ltd.,326.15,328.8,316.9,323,-4.65,323,-1.42,4445950,41954,9/30/2016
Dr.Reddy'S Laboratories Ltd.,3128,3129,3058.3,3105,-30.4,3105,-0.97,237178,28319,9/30/2016
Eicher Motors Ltd.,25149.8,25550,24549.4,24892.5,-25.85,24892.5,-0.1,72690,18149,9/30/2016
Gail (India) Ltd.,365.05,376.4,364.1,374,10.55,374,2.9,1781208,42109,9/30/2016
Grasim Industries Ltd.,4709.95,4862.6,4707.6,4854,146.4,4854,3.11,133750,17019,9/30/2016
Hcl Technologies Ltd.,797,804,787,800,8.95,800,1.13,1831300,51340,9/30/2016
HDFC Bank Ltd,1277.1,1281,1267.4,1275,-2.5,1275,-0.2,1034607,17526,9/30/2016
Hero Motocorp Ltd.,3420.15,3445.9,3388.1,3416,-12.25,3416,-0.36,366861,36961,9/30/2016
Hindalco Industries Ltd.,147,154.35,146.8,152.75,2.75,152.75,1.83,9167292,46627,9/30/2016
Hindustan Unilever Ltd.,877.1,879.85,865,870.6,-7.7,870.6,-0.88,3104818,51627,9/30/2016
Housing Development Finance Corp.Ltd.,1396.9,1399.2,1381.8,1394.95,-6.45,1394.95,-0.46,2719424,67352,9/30/2016
Icici Bank Ltd.,248.05,253.3,246.95,252.4,2.05,252.4,0.82,13731746,104990,9/30/2016
Idea Cellular Ltd.,78,81.2,78,79.25,-0.55,79.25,-0.69,9836110,40667,9/30/2016
Indusind Bank Ltd.,1190,1206.9,1181.55,1194.95,-2.9,1194.95,-0.24,752725,33497,9/30/2016
Infosys Ltd.,1031.1,1043.9,1031.1,1033.8,4.6,1033.8,0.45,3251177,66361,9/30/2016
Itc Ltd.,245.65,246.95,240.5,242.3,-3.4,242.3,-1.38,9545123,99395,9/30/2016
Kotak Mahindra Bank Ltd.,772,782.3,766.1,780.2,7.6,780.2,0.98,2432078,45558,9/30/2016
Larsen & Toubro Ltd.,1435,1440.55,1411.5,1437,-0.6,1437,-0.04,2331910,110332,9/30/2016
Lupin Ltd.,1468.7,1489.5,1458.8,1484,15.7,1484,1.07,860417,36016,9/30/2016
Mahindra & Mahindra Ltd.,1370.5,1415.35,1350,1404,39.6,1404,2.9,1068875,41643,9/30/2016
Maruti Suzuki India Ltd.,5420,5497.5,5382.6,5490.2,51.6,5490.2,0.95,646631,52712,9/30/2016
Ntpc Ltd.,149.2,151.85,147.3,148.75,-0.7,148.75,-0.47,3264954,32716,9/30/2016
Oil And Natural Gas Corporation Ltd.,251.4,257.35,249.6,257,6.85,257,2.74,6292479,80260,9/30/2016
Power Grid Corporation Of India Ltd.,174.1,177.7,171.55,176.3,2.9,176.3,1.67,6655428,37680,9/30/2016
Reliance Industries Ltd.,1068,1094.55,1066.3,1084.5,12.05,1084.5,1.12,2560105,97669,9/30/2016
State Bank Of India,246.85,252.5,245.8,252,4.75,252,1.92,14826293,105590,9/30/2016
Sun Pharmaceutical Industries Ltd.,739.95,745,735.1,743,7.15,743,0.97,2051308,61625,9/30/2016
Tata Consultancy Services Ltd.,2437.05,2449.8,2423.1,2432.2,-5.6,2432.2,-0.23,1087682,53121,9/30/2016
Tata Motors  Ltd - DVR,335,342.5,331.9,341.9,6.8,341.9,2.03,645064,16585,9/30/2016
Tata Motors Ltd.,525.6,536.55,521.2,534.6,8.3,534.6,1.58,5659248,97841,9/30/2016
Tata Power Co.Ltd.,72.7,75.85,72.6,75.15,1.5,75.15,2.04,5403340,27733,9/30/2016
Tata Steel Ltd.,367.85,377.45,363.3,375.55,6.75,375.55,1.83,5506157,52975,9/30/2016
Tech Mahindra Ltd.,435,435,418.7,420.65,-6.5,420.65,-1.52,2210429,48939,9/30/2016
Ultratech Cement Ltd.,3850,3895.4,3838.05,3853,-8.3,3853,-0.21,241074,30249,9/30/2016
Wipro Ltd.,473,480,473,479.05,6.85,479.05,1.45,2103183,55553,9/30/2016
Yes Bank Ltd.,1231.55,1259.1,1211.55,1256.3,25.5,1256.3,2.07,4189759,84131,9/30/2016
Zee Entertainment Enterprises Ltd.,547,553.5,540.55,545.55,-4.15,545.55,-0.75,1827559,38574,9/30/2016
