Company Name,Open,High,Low,LTP,Change,LTP,% Change,No. of Shares Traded,No. of Trades,Date Updated
Acc Ltd.,1628.9,1630.7,1608.5,1623.1,-6.65,1623.1,-0.41,262250,12443,10/7/2016
Adani Ports And Special Economic Zone Ltd.,267.4,268.2,262.35,267.8,2.9,267.8,1.09,3109737,20223,10/7/2016
Ambuja Cements Ltd.,252,254,249.25,253.6,0.95,253.6,0.38,944786,13509,10/7/2016
Asian Paints Ltd.,1208,1210,1180.8,1183,-26.5,1183,-2.19,873434,37252,10/7/2016
Aurobindo Pharma Ltd.,841.6,875,834.5,855.45,-1.4,855.45,-0.16,19421500,94165,10/7/2016
Axis Bank Ltd.,530,539.4,530,533.75,2.95,533.75,0.56,7702773,87759,10/7/2016
Bajaj Auto Ltd.,2827.05,2900,2785,2888,64.95,2888,2.3,325112,23968,10/7/2016
Bank Of Baroda,164.7,165.7,162.6,163.5,-1,163.5,-0.61,7061560,27906,10/7/2016
Bharat Heavy Electricals Ltd.,136.2,136.4,134.5,135,-1.1,135,-0.81,5229819,34757,10/7/2016
Bharat Petroleum Corporation Ltd.,674.9,679.9,656,663.2,-7.5,663.2,-1.12,1916720,57660,10/7/2016
Bharti Airtel Ltd.,322.6,324.45,317.2,319.35,-2.95,319.35,-0.92,1331294,36290,10/7/2016
Bharti Infratel Ltd.,382.95,382.95,369.55,369.55,-11.75,369.55,-3.08,482329,17207,10/7/2016
Bosch Ltd.,23100,23205,22860.2,23100,1.65,23100,0.01,11285,4701,10/7/2016
Cipla Ltd.,578.85,583.4,566.5,572,-6.8,572,-1.17,1317543,23960,10/7/2016
Coal India Ltd.,319.2,319.7,315.65,319.15,0.6,319.15,0.19,2038680,31674,10/7/2016
Dr.Reddy'S Laboratories Ltd.,3070,3082,3045,3056,-21.15,3056,-0.69,180517,12876,10/7/2016
Eicher Motors Ltd.,26340,26340,25750.1,25763.1,-477.75,25763.1,-1.82,25969,8579,10/7/2016
Gail (India) Ltd.,416.1,419,412.4,412.45,-2,412.45,-0.48,2384084,37351,10/7/2016
Grasim Industries Ltd.,1015,1033.4,1004,1030.05,20.85,1030.05,2.07,614501,12263,10/7/2016
Hcl Technologies Ltd.,802.15,809.45,785.3,806.25,4.7,806.25,0.59,767927,34843,10/7/2016
HDFC Bank Ltd,1284,1287.75,1276.25,1281.7,-0.25,1281.7,-0.02,834366,12895,10/7/2016
Hero Motocorp Ltd.,3478.5,3492.25,3446.8,3472.65,-1.6,3472.65,-0.05,302391,22524,10/7/2016
Hindalco Industries Ltd.,158.95,160.4,156.65,157.8,-0.55,157.8,-0.35,7263839,41842,10/7/2016
Hindustan Unilever Ltd.,889.7,889.7,868.15,879,-5.45,879,-0.62,1088191,37394,10/7/2016
Housing Development Finance Corp.Ltd.,1426,1426,1398.4,1400.1,-25.9,1400.1,-1.82,1275355,57784,10/7/2016
Icici Bank Ltd.,250.9,253.9,248.2,251,-0.25,251,-0.1,9551571,57141,10/7/2016
